id_municipio;População total urbana;Volume produzido (1000 m³);Volume coletado (1000 m³);Volume tratado (1000 m³);Relação coletado/produzido;Relação tratado/coletado;Relação tratado/produzido;Ano;Possui dado interpolado
1226;3474;164.84;0.0;0.0;0.0;0.0;0.0;2021;False
1227;12720;603.56;0.0;0.0;0.0;0.0;0.0;2021;False
1228;8127;385.63;0.0;0.0;0.0;0.0;0.0;2021;False
1229;5824;276.35;0.0;0.0;0.0;0.0;0.0;2021;False
1230;5364;254.52;0.0;0.0;0.0;0.0;0.0;2021;False
985;8088;383.78;116.5;116.5;0.3;1.0;0.3;2020;False
986;18474;876.59;630.0;630.0;0.72;1.0;0.72;2020;False
987;20356;965.89;486.86;486.86;0.5;1.0;0.5;2020;False
988;2271;107.76;0.0;0.0;0.0;0.0;0.0;2020;False
989;5230;248.16;0.0;0.0;0.0;0.0;0.0;2020;False
990;1652;78.39;0.0;0.0;0.0;0.0;0.0;2020;False
991;196559;9326.72;2526.84;2175.86;0.27;0.86;0.23;2020;False
992;25290;1200.01;0.0;0.0;0.0;0.0;0.0;2020;False
993;1793;85.08;0.0;0.0;0.0;0.0;0.0;2020;False
994;5963;282.94;50.0;0.0;0.18;0.0;0.0;2020;False
995;6941;329.35;0.0;0.0;0.0;0.0;0.0;2020;False
996;7859;372.91;156.83;19.26;0.42;0.12;0.05;2020;False
997;3471;164.7;0.0;0.0;0.0;0.0;0.0;2020;False
998;5565;264.06;0.0;0.0;0.0;0.0;0.0;2020;False
999;2771;131.48;0.0;0.0;0.0;0.0;0.0;2020;False
1000;353730;16784.49;12160.19;12158.97;0.72;1.0;0.72;2020;False
1001;1047;49.68;0.0;0.0;0.0;0.0;0.0;2020;False
1002;19846;941.69;344.85;344.85;0.37;1.0;0.37;2020;False
1003;532842;25283.35;12159.76;11832.67;0.48;0.97;0.47;2020;False
1004;2233;105.96;114.73;114.73;1.08;1.0;1.08;2020;False
1005;3821;181.31;0.0;0.0;0.0;0.0;0.0;2020;False
1006;3147;149.33;500.0;0.0;3.35;0.0;0.0;2020;False
1007;18304;868.52;0.0;0.0;0.0;0.0;0.0;2020;False
1008;9476;449.64;0.0;0.0;0.0;0.0;0.0;2020;False
1009;7027;333.43;150.88;150.88;0.45;1.0;0.45;2020;False
1010;2289;108.61;0.0;0.0;0.0;0.0;0.0;2020;False
1011;9128;433.12;196.83;196.83;0.45;1.0;0.45;2020;False
1012;2761;131.01;0.0;0.0;0.0;0.0;0.0;2020;False
1013;2175;103.2;0.0;0.0;0.0;0.0;0.0;2020;False
1014;4767;226.19;0.0;0.0;0.0;0.0;0.0;2020;False
1015;10300;488.74;0.0;0.0;0.0;0.0;0.0;2020;False
1016;27531;1306.35;605.41;605.41;0.46;1.0;0.46;2020;False
1017;8007;379.93;0.0;0.0;0.0;0.0;0.0;2020;False
1018;23157;1098.8;1205.01;1205.01;1.1;1.0;1.1;2020;False
1019;8955;424.91;0.0;0.0;0.0;0.0;0.0;2020;False
1020;4056;192.46;0.0;0.0;0.0;0.0;0.0;2020;False
1021;3382;160.48;0.0;0.0;0.0;0.0;0.0;2020;False
1022;5234;248.35;161.52;161.52;0.65;1.0;0.65;2020;False
1023;8563;406.31;87.34;0.0;0.21;0.0;0.0;2020;False
1024;2235;106.05;0.0;0.0;0.0;0.0;0.0;2020;False
1025;2964;140.64;0.0;0.0;0.0;0.0;0.0;2020;False
1026;7264;344.68;0.0;0.0;0.0;0.0;0.0;2020;False
1027;11436;542.64;337.39;0.0;0.62;0.0;0.0;2020;False
1028;1211;57.46;0.0;0.0;0.0;0.0;0.0;2020;False
1029;7251;344.06;226.1;226.1;0.66;1.0;0.66;2020;False
1030;14690;697.04;591.05;591.05;0.85;1.0;0.85;2020;False
1031;17251;818.56;631.6;631.6;0.77;1.0;0.77;2020;False
1032;84146;3992.73;2258.0;2258.0;0.57;1.0;0.57;2020;False
1033;3474;164.84;0.0;0.0;0.0;0.0;0.0;2020;False
1034;3294;156.3;0.0;0.0;0.0;0.0;0.0;2020;False
1035;3279;155.59;0.0;0.0;0.0;0.0;0.0;2020;False
1036;11524;546.81;0.0;0.0;0.0;0.0;0.0;2020;False
1037;6986;331.49;0.0;0.0;0.0;0.0;0.0;2020;False
1038;7169;340.17;0.0;0.0;0.0;0.0;0.0;2020;False
1039;18064;857.14;543.2;543.2;0.63;1.0;0.63;2020;False
1040;1652;78.39;0.0;0.0;0.0;0.0;0.0;2020;False
1041;9196;436.35;0.0;0.0;0.0;0.0;0.0;2020;False
1042;3076;145.96;0.0;0.0;0.0;0.0;0.0;2020;False
1043;100206;4754.77;3067.0;2453.6;0.65;0.8;0.52;2020;False
1044;4605;218.51;0.0;0.0;0.0;0.0;0.0;2020;False
1045;8780;416.61;0.0;0.0;0.0;0.0;0.0;2020;False
1046;20140;955.64;1031.51;1031.51;1.08;1.0;1.08;2020;False
1047;7857;372.81;0.0;0.0;0.0;0.0;0.0;2020;False
1048;9467;449.21;943.0;943.0;2.1;1.0;2.1;2020;False
1049;65812;3122.78;1085.88;1085.88;0.35;1.0;0.35;2020;False
1050;18513;878.44;0.0;0.0;0.0;0.0;0.0;2020;False
1051;3033;143.92;0.0;0.0;0.0;0.0;0.0;2020;False
1052;2067;98.08;0.0;0.0;0.0;0.0;0.0;2020;False
1053;10084;478.49;0.0;0.0;0.0;0.0;0.0;2020;False
1054;8910;422.78;339.54;339.54;0.8;1.0;0.8;2020;False
1055;54363;2579.52;822.97;822.97;0.32;1.0;0.32;2020;False
1056;2676;126.98;0.0;0.0;0.0;0.0;0.0;2020;False
1057;15389;730.21;0.0;0.0;0.0;0.0;0.0;2020;False
1058;3134;148.71;0.0;0.0;0.0;0.0;0.0;2020;False
1059;2561;121.52;0.0;0.0;0.0;0.0;0.0;2020;False
1060;2984;141.59;0.0;0.0;0.0;0.0;0.0;2020;False
1061;2666;126.5;0.0;0.0;0.0;0.0;0.0;2020;False
1062;1890;89.68;0.0;0.0;0.0;0.0;0.0;2020;False
1063;2238;106.19;0.0;0.0;0.0;0.0;0.0;2020;False
1064;4314;204.7;0.0;0.0;0.0;0.0;0.0;2020;False
1065;6543;310.47;0.0;0.0;0.0;0.0;0.0;2020;False
